# generation,lower_bound,upper_bound,mean,stdev
1,7278,7506,7422.00000,68.14690
2,7278,7506,7422.00000,68.14690
3,7278,7480,7409.00000,60.60528
4,7278,7462,7396.00000,52.25897
5,7278,7437,7378.00000,47.50789
6,7278,7414,7364.00000,49.50758
7,7278,7414,7351.00000,44.39595
8,7253,7411,7341.00000,53.73081
9,7253,7411,7333.00000,57.99138
10,7253,7411,7324.00000,55.87486
11,7176,7405,7312.00000,70.43437
12,7176,7386,7300.00000,64.92303
13,7165,7386,7293.00000,70.67531
14,7165,7386,7281.00000,66.66333
15,7165,7386,7281.00000,66.66333
16,7165,7386,7270.00000,69.29646
17,7165,7386,7266.00000,71.46328
18,7165,7386,7256.00000,74.46476
19,7165,7386,7252.00000,69.20260
20,7160,7381,7246.00000,64.00781
21,7160,7348,7230.00000,58.41233
22,7124,7309,7218.00000,52.97169
23,7124,7309,7218.00000,52.97169
24,7124,7307,7212.00000,49.11212
25,7124,7277,7205.00000,47.46578
26,7124,7257,7190.00000,41.04875
27,7124,7257,7190.00000,41.04875
28,7124,7217,7181.00000,32.03123
29,7079,7217,7173.00000,46.66905
30,7079,7217,7168.00000,44.48595
31,7079,7211,7166.00000,42.53234
32,7079,7211,7164.00000,42.33202
33,7079,7211,7164.00000,42.33202
34,7079,7211,7163.00000,42.72002
35,7078,7211,7163.00000,43.15090
36,7078,7211,7159.00000,41.97618
37,7078,7211,7156.00000,42.83690
38,7057,7211,7150.00000,44.49719
39,7057,7211,7150.00000,44.49719
40,7057,7211,7150.00000,44.49719
41,7057,7211,7146.00000,46.05432
42,7057,7211,7140.00000,46.79744
43,7057,7211,7140.00000,46.79744
44,7057,7211,7136.00000,51.58488
45,7057,7211,7128.00000,54.76313
46,7057,7195,7122.00000,49.90992
47,7057,7195,7120.00000,48.84670
48,7057,7166,7112.00000,42.90688
49,7057,7166,7108.00000,42.30839
50,7057,7155,7107.00000,40.76763
51,7057,7155,7106.00000,41.30375
52,7054,7155,7103.00000,40.93898
53,7054,7155,7098.00000,38.27532
54,7054,7154,7098.00000,38.10512
55,7054,7154,7098.00000,38.10512
56,7054,7154,7094.00000,36.24914
57,7054,7154,7094.00000,36.24914
58,7054,7154,7094.00000,36.24914
59,7054,7154,7094.00000,36.24914
60,7054,7154,7094.00000,36.24914
61,7050,7154,7094.00000,36.76955
62,7050,7154,7093.00000,36.06938
63,7050,7154,7092.00000,37.53665
64,7050,7154,7090.00000,37.81534
65,7050,7154,7090.00000,37.81534
66,7050,7137,7082.00000,30.93542
67,7036,7137,7080.00000,33.49627
68,7025,7137,7079.00000,35.25621
69,7025,7137,7079.00000,35.25621
70,7025,7137,7079.00000,34.51087
71,7025,7137,7077.00000,35.02856
72,6984,7137,7072.00000,43.08132
73,6984,7137,7070.00000,42.64974
74,6984,7137,7070.00000,42.62628
75,6984,7137,7065.00000,46.22770
76,6976,7137,7059.00000,52.40229
77,6976,7137,7059.00000,52.40229
78,6976,7137,7058.00000,52.12485
79,6976,7137,7058.00000,52.12485
80,6976,7137,7058.00000,52.12485
81,6976,7126,7057.00000,50.24938
82,6976,7126,7057.00000,50.24938
83,6976,7121,7055.00000,49.16299
84,6976,7121,7052.00000,48.41487
85,6976,7121,7052.00000,48.41487
86,6976,7121,7052.00000,48.41487
87,6976,7121,7052.00000,48.41487
88,6976,7121,7051.00000,48.19751
89,6976,7121,7051.00000,48.19751
90,6976,7121,7050.00000,46.19524
91,6976,7121,7049.00000,45.93474
92,6976,7121,7049.00000,45.93474
93,6976,7121,7049.00000,45.93474
94,6976,7121,7046.00000,48.83646
95,6976,7121,7043.00000,47.42362
96,6976,7121,7043.00000,47.42362
97,6976,7121,7041.00000,46.63690
98,6976,7121,7041.00000,46.63690
99,6976,7121,7041.00000,46.63690
100,6976,7121,7041.00000,46.63690
101,6976,7121,7041.00000,46.63690
102,6976,7121,7041.00000,46.63690
103,6976,7121,7038.00000,47.64452
104,6976,7121,7038.00000,47.64452
105,6976,7121,7038.00000,47.64452
106,6967,7121,7038.00000,49.03060
107,6967,7121,7036.00000,47.32864
108,6967,7121,7036.00000,47.32864
109,6967,7121,7036.00000,47.32864
110,6967,7121,7036.00000,47.32864
111,6967,7121,7036.00000,47.32864
112,6967,7121,7036.00000,47.32864
113,6967,7121,7036.00000,47.32864
114,6967,7121,7036.00000,47.32864
115,6967,7121,7036.00000,47.32864
116,6967,7121,7036.00000,47.32864
117,6967,7121,7036.00000,47.32864
118,6967,7121,7036.00000,47.32864
119,6967,7121,7036.00000,47.32864
120,6967,7121,7034.00000,47.66550
121,6967,7121,7034.00000,47.66550
122,6967,7121,7034.00000,47.66550
123,6967,7115,7033.00000,46.47580
124,6967,7115,7032.00000,45.72745
125,6967,7115,7030.00000,46.15192
126,6967,7115,7025.00000,45.17743
127,6967,7115,7025.00000,45.17743
128,6967,7115,7025.00000,45.17743
129,6967,7115,7025.00000,45.17743
130,6967,7115,7025.00000,45.17743
131,6967,7111,7025.00000,44.30576
132,6967,7091,7023.00000,40.27406
133,6967,7091,7023.00000,40.38564
134,6967,7091,7023.00000,40.38564
135,6967,7065,7020.00000,36.15245
136,6967,7060,7018.00000,34.17601
137,6967,7060,7016.00000,32.83291
138,6967,7060,7016.00000,32.83291
139,6967,7060,7015.00000,31.92178
140,6967,7060,7015.00000,31.92178
141,6957,7060,7012.00000,34.16138
142,6957,7060,7012.00000,34.16138
143,6950,7060,7012.00000,35.29873
144,6950,7060,7012.00000,35.29873
145,6950,7060,7009.00000,34.04409
146,6950,7060,7009.00000,34.04409
147,6950,7060,7009.00000,34.04409
148,6950,7060,7009.00000,34.04409
149,6950,7060,7009.00000,34.05877
150,6950,7060,7009.00000,34.05877
151,6950,7060,7009.00000,34.05877
152,6950,7060,7009.00000,34.05877
153,6950,7060,7008.00000,34.11744
154,6950,7060,7008.00000,34.08812
155,6950,7060,7006.00000,35.97221
156,6950,7060,7006.00000,35.97221
157,6950,7060,7006.00000,35.97221
158,6950,7060,7006.00000,35.97221
159,6950,7060,7006.00000,35.97221
160,6950,7060,7006.00000,35.73514
161,6950,7060,7006.00000,35.73514
162,6950,7060,7002.00000,38.05260
163,6950,7060,7002.00000,38.05260
164,6950,7060,7001.00000,37.96051
165,6950,7060,7000.00000,37.20215
166,6950,7060,6998.00000,37.14835
167,6950,7060,6998.00000,36.61967
168,6950,7060,6996.00000,36.42801
169,6950,7060,6996.00000,36.42801
170,6950,7060,6996.00000,36.42801
171,6950,7060,6996.00000,36.42801
172,6950,7060,6996.00000,36.42801
173,6950,7060,6996.00000,36.42801
174,6950,7060,6996.00000,36.42801
175,6950,7060,6994.00000,37.08099
176,6950,7060,6992.00000,39.23009
177,6950,7060,6992.00000,38.70400
178,6950,7060,6992.00000,38.70400
179,6950,7060,6992.00000,38.70400
180,6950,7060,6992.00000,38.70400
181,6950,7060,6992.00000,38.70400
182,6950,7060,6992.00000,38.70400
183,6947,7060,6991.00000,38.91015
184,6947,7060,6991.00000,38.91015
